Score,Tags
32,<resources><first-time-author>
20,<fiction><grammatical-person><third-person>
34,<publishing><novel><agent>
28,<plot><short-story><planning><brainstorming>
21,<fiction><genre><categories>
69,<software><organization>
23,<terminology><preparation>
32,<editing>
15,<poetry><publishing><magazines>
11,<discipline><daily><goal><nanowrimo><wordcount>
26,<discipline><technique>
24,<publishing><agent>
37,<wordcount>
10,<fiction><genre>
31,<fiction><fan-fiction>
13,<fiction><collaboration><shared><world-building>
38,<style><description><showing-telling>
18,<fiction><plot><series>
12,<publishing><genre>
31,<planning><brainstorming>
13,<fiction><genre><terminology>
25,<style><resources>
23,<wordcount><nanowrimo><writers-block>
15,<style><medium>
14,<resources>
29,<publishing><self-publishing><ebook>
6,<plot><videogame>
10,<fiction><viewpoint><tenses>
9,<degree><mfa>
51,<attention><openings><technique>
22,<collaboration><community><planning>
16,<tools><medium>
13,<writing-groups>
21,<daily>
10,<language>
10,<fiction><style><research>
23,<goal><planning>
57,<style><naming><characters>
12,<fiction><organization><collaboration>
59,<resources>
4,<translation>
8,<style><editing>
8,<style><language>
6,<attention><audience>
6,<resources><book-rec>
8,<fiction><publishing><submitting-work><international><non-fiction>
3,<style>
25,<style><language>
9,<viewpoint>
23,<publishing><self-preservation>
23,<submitting-work><self-preservation><legal>
5,<book>
12,<genre><pseudonym>
12,<videogame><script><getting-started>
10,<screenwriting><playwriting>
17,<fiction><habits><process>
32,<money>
9,<viewpoint><third-person>
17,<publishing>
7,<publishing><poetry>
8,<resources><dictionary><thesaurus><vocabulary>
11,<style><discipline><perspective>
5,<viewpoint>
9,<dictionary><poetry><resources>
14,<resources><children><ending>
74,<software><version-control>
19,<legal><naming><copyright>
16,<humor>
13,<language><translation>
7,<script><scriptwriting>
12,<publishing><sex>
7,<technique><cliches><originality>
14,<style><turning-point><deus-ex-machina>
32,<organization><world-building>
19,<fantasy><novel><artwork>
20,<resources><characters><cliches>
12,<technique><tools>
15,<style><technique><exercises>
12,<book><printing>
20,<book><pages><book-length>
7,<planning><characters>
40,<software><latex>
40,<writing-groups>
17,<planning><characters><resources>
29,<organization><ideas>
11,<planning><book-length><young-adult><series>
11,<planning><series>
